lvl 	GB 0 	GB 1 	GB 2 	GB 3 	GB 4
68 	10:21:30 	9:59:10 	9:37:30 	9:16:40 	8:56:40
69 	10:33:30 	10:10:40 	9:48:40 	9:27:30 	9:07:10
70 	10:45:40 	10:22:30 	10:00:00 	9:38:30 	9:17:40
71 	10:58:10 	10:34:20 	10:11:30 	9:49:30 	9:28:20
72 	11:10:40 	10:46:30 	10:23:10 	10:00:50 	9:39:10
73 	11:23:20 	10:58:50 	10:35:00 	10:12:10 	9:50:10
74 	11:36:20 	11:11:10 	10:47:00 	10:23:50 	10:01:20
75 	11:49:20 	11:23:50 	10:59:10 	10:35:30 	10:12:40
76 	12:02:40 	11:36:40 	11:11:30 	10:47:20 	10:24:10
77 	12:16:10 	11:49:40 	11:24:00 	10:59:30 	10:35:40
78 	12:29:50 	12:02:50 	11:36:40 	11:11:40 	10:47:30
79 	12:43:40 	12:16:10 	11:49:40 	11:24:00 	10:59:30
80 	12:57:40 	12:29:40 	12:02:40 	11:36:40 	11:11:30
81 	13:11:50 	12:43:20 	12:15:50 	11:49:20 	11:23:50
82 	13:26:20 	12:57:20 	12:29:20 	12:02:20 	11:36:20
83 	13:40:50 	13:11:20 	12:42:50 	12:15:20 	11:49:00
84 	13:55:40 	13:25:40 	12:56:40 	12:28:40 	12:01:40
85 	14:10:50 	13:40:10 	13:10:40 	12:42:10 	12:14:40
86 	14:26:00 	13:54:50 	13:24:50 	12:55:50 	12:27:50
87 	14:41:30 	14:09:50 	13:39:10 	13:09:40 	12:41:20
88 	14:57:10 	14:24:50 	13:53:40 	13:23:40 	12:54:50
89 	15:13:00 	14:40:10 	14:08:30 	13:38:00 	13:08:30
90 	15:29:10 	14:55:40 	14:23:30 	13:52:30 	13:22:30
91 	15:45:30 	15:11:30 	14:38:40 	14:07:00 	13:36:30
92 	16:02:10 	15:27:30 	14:54:10 	14:21:50 	13:50:50
93 	16:19:00 	15:43:40 	15:09:40 	14:37:00 	14:05:20
94 	16:36:00 	16:00:10 	15:25:30 	14:52:10 	14:20:10
95 	16:53:20 	16:16:50 	15:41:40 	15:07:40 	14:35:00
96 	17:10:50 	16:33:40 	15:57:50 	15:23:30 	14:50:10
97 	17:28:30 	16:50:50 	16:14:30 	15:39:20 	15:05:30
98 	17:46:30 	17:08:10 	16:31:10 	15:55:30 	15:21:10
99 	18:04:50 	17:25:50 	16:48:10 	16:11:50 	15:36:50
100 	18:23:20 	17:43:40 	17:05:20 	16:28:30 	15:52:50
Suma 	818:57:20 	789:27:10 	761:01:50 	733:38:30 	707:14:00



Czasy budowy przy G³ównym budynku na poziomach 16-20
lvl 	GB 16 	GB 17 	GB 18 	GB 19 	GB 20
1 	1:26:40 	1:23:30 	1:20:30 	1:17:30 	1:14:50
2 	1:30:40 	1:27:30 	1:24:20 	1:21:10 	1:18:20
3 	1:34:50 	1:31:30 	1:28:10 	1:25:00 	1:21:50
4 	1:39:00 	1:35:30 	1:32:00 	1:28:40 	1:25:30
5 	1:43:20 	1:39:40 	1:36:00 	1:32:30 	1:29:10
6 	1:47:40 	1:43:50 	1:40:00 	1:36:30 	1:33:00
7 	1:52:00 	1:48:00 	1:44:10 	1:40:20 	1:36:50
8 	1:56:30 	1:52:20 	1:48:20 	1:44:20 	1:40:40
9 	2:01:00 	1:56:40 	1:52:30 	1:48:20 	1:44:30
10 	2:05:40 	2:01:00 	1:56:40 	1:52:30 	1:48:30
11 	2:10:10 	2:05:30 	2:01:00 	1:56:40 	1:52:30
12 	2:15:00 	2:10:10 	2:05:20 	2:00:50 	1:56:30
13 	2:19:40 	2:14:40 	2:09:50 	2:05:10 	2:00:40
14 	2:24:30 	2:19:20 	2:14:20 	2:09:30 	2:04:50
15 	2:29:30 	2:24:00 	2:18:50 	2:13:50 	2:09:00
16 	2:34:30 	2:28:50 	2:23:30 	2:18:20 	2:13:20
17 	2:39:30 	2:33:40 	2:28:10 	2:22:50 	2:17:40
18 	2:44:40 	2:38:40 	2:33:00 	2:27:30 	2:22:10
19 	2:49:50 	2:43:40 	2:37:50 	2:32:10 	2:26:40
20 	2:55:00 	2:48:50 	2:42:40 	2:36:50 	2:31:10
21 	3:00:20 	2:53:50 	2:47:40 	2:41:40 	2:35:50
22 	3:05:50 	2:59:10 	2:52:40 	2:46:30 	2:40:30
23 	3:11:20 	3:04:20 	2:57:50 	2:51:20 	2:45:10
24 	3:16:50 	3:09:50 	3:03:00 	2:56:20 	2:50:00
25 	3:22:30 	3:15:10 	3:08:10 	3:01:20 	2:54:50
26 	3:28:10 	3:20:40 	3:13:30 	3:06:30 	2:59:50
27 	3:34:00 	3:26:20 	3:18:50 	3:11:40 	3:04:50
28 	3:39:50 	3:32:00 	3:24:20 	3:17:00 	3:09:50
29 	3:45:50 	3:37:40 	3:29:50 	3:22:20 	3:15:00
30 	3:51:50 	3:43:30 	3:35:30 	3:27:40 	3:20:20
31 	3:58:00 	3:49:30 	3:41:10 	3:33:10 	3:25:30
32 	4:04:10 	3:55:30 	3:47:00 	3:38:50 	3:31:00
33 	4:10:30 	4:01:30 	3:52:50 	3:44:30 	3:36:20
34 	4:17:00 	4:07:40 	3:58:50 	3:50:10 	3:41:50
35 	4:23:20 	4:14:00 	4:04:50 	3:56:00 	3:47:30
36 	4:30:00 	4:20:20 	4:10:50 	4:01:50 	3:53:10
37 	4:36:40 	4:26:40 	4:17:10 	4:07:50 	3:59:00
38 	4:43:20 	4:33:10 	4:23:20 	4:13:50 	4:04:50
39 	4:50:20 	4:39:50 	4:29:40 	4:20:00 	4:10:40
40 	4:57:10 	4:46:30 	4:36:10 	4:26:20 	4:16:40
41 	5:04:20 	4:53:20 	4:42:40 	4:32:30 	4:22:50
42 	5:11:20 	5:00:10 	4:49:20 	4:39:00 	4:29:00
43 	5:18:40 	5:07:10 	4:56:10 	4:45:30 	4:35:10
44 	5:26:00 	5:14:20 	5:03:00 	4:52:00 	4:41:30
45 	5:33:30 	5:21:30 	5:09:50 	4:58:40 	4:48:00
46 	5:41:00 	5:28:40 	5:16:50 	5:05:30 	4:54:30
47 	5:48:40 	5:36:10 	5:24:00 	5:12:20 	5:01:10
48 	5:56:20 	5:43:30 	5:31:10 	5:19:20 	5:07:50
49 	6:04:20 	5:51:10 	5:38:30 	5:26:20 	5:14:40
50 	6:12:20 	5:58:50 	5:46:00 	5:33:30 	5:21:30
51 	6:20:20 	6:06:40 	5:53:30 	5:40:50 	5:28:30
52 	6:28:30 	6:14:40 	6:01:10 	5:48:10 	5:35:30
53 	6:36:50 	6:22:40 	6:08:50 	5:55:30 	5:42:50
54 	6:45:20 	6:30:40 	6:16:40 	6:03:10 	5:50:00
55 	6:53:50 	6:39:00 	6:24:40 	6:10:50 	5:57:30
56 	7:02:30 	6:47:20 	6:32:40 	6:18:30 	6:05:00
57 	7:11:20 	6:55:50 	6:40:50 	6:26:30 	6:12:30
58 	7:20:20 	7:04:30 	6:49:10 	6:34:30 	6:20:10
59 	7:29:20 	7:13:10 	6:57:30 	6:42:30 	6:28:00
60 	7:38:30 	7:22:00 	7:06:10 	6:50:50 	6:36:00
61 	7:47:50 	7:31:00 	7:14:50 	6:59:10 	6:44:00
62 	7:57:20 	7:40:10 	7:23:30 	7:07:30 	6:52:10
63 	8:06:50 	7:49:20 	7:32:20 	7:16:10 	7:00:30
64 	8:16:30 	7:58:40 	7:41:30 	7:24:50 	7:08:50
65 	8:26:20 	8:08:10 	7:50:30 	7:33:40 	7:17:20
66 	8:36:20 	8:17:50 	7:59:50 	7:42:30 	7:25:50
67 	8:46:30 	8:27:30 	8:09:10 	7:51:40 	7:34:40
68 	8:56:40 	8:37:20 	8:18:50 	8:00:50 	7:43:30
69 	9:07:10 	8:47:20 	8:28:30 	8:10:10 	7:52:30
70 	9:17:40 	8:57:30 	8:38:10 	8:19:30 	8:01:40
71 	9:28:20 	9:07:50 	8:48:10 	8:29:10 	8:10:50
72 	9:39:10 	9:18:20 	8:58:10 	8:38:50 	8:20:10
73 	9:50:10 	9:29:00 	9:08:30 	8:48:40 	8:29:40
74 	10:01:20 	9:39:40 	9:18:50 	8:58:40 	8:39:20
75 	10:12:40 	9:50:30 	9:29:20 	9:08:50 	8:49:00
76 	10:24:10 	10:01:40 	9:40:00 	9:19:10 	8:59:00
77 	10:35:40 	10:12:50 	9:50:50 	9:29:30 	9:09:00
78 	10:47:30 	10:24:10 	10:01:40 	9:40:00 	9:19:10
79 	10:59:30 	10:35:40 	10:12:50 	9:50:50 	9:29:30
80 	11:11:30 	10:47:20 	10:24:00 	10:01:40 	9:40:00
81 	11:23:50 	10:59:10 	10:35:30 	10:12:40 	9:50:30
82 	11:36:20 	11:11:10 	10:47:00 	10:23:50 	10:01:20
83 	11:49:00 	11:23:20 	10:58:50 	10:35:10 	10:12:10
84 	12:01:40 	11:35:50 	11:10:40 	10:46:30 	10:23:20
85 	12:14:40 	11:48:20 	11:22:50 	10:58:10 	10:34:30
86 	12:27:50 	12:01:00 	11:35:00 	11:10:00 	10:45:50
87 	12:41:20 	12:13:50 	11:47:30 	11:22:00 	10:57:30
88 	12:54:50 	12:26:50 	12:00:00 	11:34:10 	11:09:10
89 	13:08:30 	12:40:10 	12:12:50 	11:46:20 	11:21:00
90 	13:22:30 	12:53:30 	12:25:40 	11:58:50 	11:33:00
91 	13:36:30 	13:07:10 	12:38:50 	12:11:30 	11:45:10
92 	13:50:50 	13:21:00 	12:52:10 	12:24:20 	11:57:30
93 	14:05:20 	13:35:00 	13:05:40 	12:37:20 	12:10:10
94 	14:20:10 	13:49:10 	13:19:20 	12:50:30 	12:22:50
95 	14:35:00 	14:03:30 	13:33:10 	13:03:50 	12:35:40
96 	14:50:10 	14:18:10 	13:47:10 	13:17:30 	12:48:50
97 	15:05:30 	14:33:00 	14:01:30 	13:31:10 	13:02:00
98 	15:21:10 	14:48:00 	14:16:00 	13:45:10 	13:15:30
99 	15:36:50 	15:03:10 	14:30:40 	13:59:20 	13:29:00
100 	15:52:50 	15:18:30 	14:45:30 	14:13:40 	13:42:50
